=== ZARGON WIN RATE ANALYSIS ===
Generated: 2026-02-15T13:46:10.622418

Testing: Level 5 Character with Long Sword + Chain Mail

Player Stats: Level 5, AP=22, HP=44, Defense=72

=== WIN RATES BY MONSTER AND SCALE (100 battles each) ===

Monster: BABBLE (Base: AP=4, HP=12)
Scale | Monster Stats    | Win Rate | Avg Turns | Avg HP Left
------|------------------|----------|-----------|------------
  1   | AP=4   HP=12  |    100%  |   1.0     |   44
  2   | AP=8   HP=24  |    100%  |   2.0     |   43
  3   | AP=12  HP=36  |    100%  |   2.0     |   43
  4   | AP=16  HP=48  |    100%  |   3.0     |   42
  5   | AP=20  HP=60  |    100%  |   3.0     |   42
  6   | AP=24  HP=72  |    100%  |   4.0     |   41
  7   | AP=28  HP=84  |    100%  |   4.0     |   41
  8   | AP=32  HP=96  |    100%  |   5.0     |   40
  9   | AP=36  HP=108 |    100%  |   5.0     |   40
  10  | AP=40  HP=120 |    100%  |   6.0     |   39

Monster: BAT (Base: AP=2, HP=10)
Scale | Monster Stats    | Win Rate | Avg Turns | Avg HP Left
------|------------------|----------|-----------|------------
  1   | AP=2   HP=10  |    100%  |   1.0     |   44
  2   | AP=4   HP=20  |    100%  |   1.0     |   44
  3   | AP=6   HP=30  |    100%  |   2.0     |   43
  4   | AP=8   HP=40  |    100%  |   2.0     |   43
  5   | AP=10  HP=50  |    100%  |   3.0     |   42
  6   | AP=12  HP=60  |    100%  |   3.0     |   42
  7   | AP=14  HP=70  |    100%  |   4.0     |   41
  8   | AP=16  HP=80  |    100%  |   4.0     |   41
  9   | AP=18  HP=90  |    100%  |   5.0     |   40
  10  | AP=20  HP=100 |    100%  |   5.0     |   40

Monster: BELETH (Base: AP=8, HP=16)
Scale | Monster Stats    | Win Rate | Avg Turns | Avg HP Left
------|------------------|----------|-----------|------------
  1   | AP=8   HP=16  |    100%  |   1.0     |   44
  2   | AP=16  HP=32  |    100%  |   2.0     |   43
  3   | AP=24  HP=48  |    100%  |   3.0     |   42
  4   | AP=32  HP=64  |    100%  |   3.0     |   42
  5   | AP=40  HP=80  |    100%  |   4.0     |   41
  6   | AP=48  HP=96  |    100%  |   5.0     |   40
  7   | AP=56  HP=112 |    100%  |   6.0     |   39
  8   | AP=64  HP=128 |    100%  |   6.0     |   39
  9   | AP=72  HP=144 |     99%  |   7.0     |   17
  10  | AP=80  HP=160 |      0%  |   N/A     |  N/A

Monster: KRAKEN (Base: AP=25, HP=60)
Scale | Monster Stats    | Win Rate | Avg Turns | Avg HP Left
------|------------------|----------|-----------|------------
  1   | AP=25  HP=60  |    100%  |   3.0     |   42
  2   | AP=50  HP=120 |    100%  |   6.0     |   39
  3   | AP=75  HP=180 |     99%  |   9.0     |    8
  4   | AP=100 HP=240 |      0%  |   N/A     |  N/A
  5   | AP=125 HP=300 |      0%  |   N/A     |  N/A
  6   | AP=150 HP=360 |      0%  |   N/A     |  N/A
